"GPU Task 2 : Dogs and Cats , SGD",,,,
Epochs,loss(train),accuracy(val),loss(val),
1,0.642133,65.5293,0.608818,
2,0.536532,74.8724,0.500847,
3,0.386919,80.2774,0.425721,
4,0.435705,81.2341,0.409767,
5,0.441874,81.983399,0.395408,
,,,,
GPU Task 5: ImageNet Using Alexnet,,,,
Epochs,Batch size,loss(train),accuracy(val),loss(val)
1,128,0.650218,58.227,0.682994
2,128,0.638351,72.6244,0.540892
3,128,0.500597,77.1365,0.474958
4,128,0.410012,78.4917,0.454062
5,128,0.397217,79.0657,0.447667